구별,총 계,최근증가율,인구수,한국인,외국인,고령자,CCTV비율,오차
종로구,2290,895.6521739130435,150204,139189,11015,29338,1.5245932198876195,-619.1084062469363
중구,3021,703.4574468085107,131800,121475,10325,26516,2.2921092564491654,204.94240047575659
용산구,3300,3013.2075471698113,219451,206061,13390,39021,1.50375254612647,40.778074239573016
성동구,4514,732.8413284132841,283853,276597,7256,50534,1.5902597471226305,929.1609228292905
광진구,4156,931.2655086848634,350005,334159,15846,58307,1.1874116084055941,236.69575404426814
동대문구,3446,inf,360066,341345,18721,68503,0.9570467636488866,-524.1727618455934
중랑구,4512,841.9624217118998,386782,381126,5656,81160,1.1665485984352943,406.7508769066644
성북구,4543,1319.6875,436666,424194,12472,81965,1.040383267760714,185.53687763722337
강북구,3584,8045.454545454545,290252,285054,5198,69922,1.234789079834075,-33.19248470268667
도봉구,2378,79166.66666666666,308060,305400,2660,72365,0.7719275465818347,-1329.2299095080393
노원구,3111,425.5067567567568,500045,495183,4862,98515,0.6221440070393665,-1566.9079756162828
은평구,5027,497.7407847800238,468976,464738,4238,96177,1.0719098631912933,506.17719684988333
서대문구,3799,652.2772277227722,320010,305369,14641,59275,1.1871504015499517,31.35077184730835
마포구,3361,1277.4590163934427,373980,363029,10951,59004,0.8987111610246538,-679.5220839896674
양천구,4447,1921.3636363636365,436595,433307,3288,78399,1.0185641154846024,89.89585434214132
강서구,3627,638.6965376782077,565133,559335,5798,105023,0.6417958250535715,-1379.9935498374634
구로구,5449,797.6935749588139,413099,390169,22930,81973,1.3190542702838788,1210.6918636203627
금천구,3170,3345.652173913044,240153,226672,13481,46764,1.3199918385362666,-193.89144329863484
영등포구,4697,546.0797799174691,397771,375040,22731,69230,1.1808301761566327,536.1903838032267
동작구,3315,583.5051546391752,389541,378324,11217,71823,0.8510015633784377,-804.1986544858546
관악구,5842,469.9512195121951,497632,481145,16487,87267,1.1739598739630892,1176.2921763410013
서초구,5395,592.5545571245186,411959,407404,4555,67191,1.309596343325428,1162.4557149387638
강남구,7721,419.58277254374156,562136,556570,5566,89719,1.373511036475159,2729.1593119180197
송파구,4126,1015.1351351351352,658768,652752,6016,111724,0.6263206470259636,-1354.4130394853291
강동구,3549,389.51724137931035,466924,462646,4278,85571,0.7600808696918556,-961.4478707769922
